index,name,mae_pp,rmse_pp,bias_pp,present_mae_pp,present_tokens,present_areas,within_5pp_fraction,present_within_5pp_fraction,dominant_precision,dominant_recall,dominant_f1,support_status
0,Urban fabric,3.893743125205914,11.96264202359508,-0.03688669226355165,33.6630115512605,2750,55,0.8635154171231805,0.10363636363636364,0.7405931828242586,0.7734627831715211,0.7566711895070104,at_least_20_test_areas
1,Industrial or commercial units,1.6697864829537112,7.587022410091362,0.33045297462775036,57.95465887431802,522,13,0.9512107863962614,0.04789272030651341,0.6,0.20580474934036938,0.30648330058939094,limited_test_presence
2,Arable land,16.16761917070473,28.99803250391461,-3.4739512248616586,44.7884435461453,10222,103,0.5290566375243163,0.06084914889454118,0.6436959893640594,0.6716763005780347,0.6573885494455759,at_least_20_test_areas
3,Permanent crops,2.092504174306058,8.48613426159515,0.7527230187022187,76.84273169726694,390,4,0.934172573396239,0.04358974358974359,0.008695652173913044,0.0032679738562091504,0.004750593824228029,limited_test_presence
4,Pastures,12.966660323243216,25.06727416775147,-0.7384503016562796,46.66505678106913,6882,76,0.591530085191065,0.045771578029642546,0.5543233927768619,0.6538801484885982,0.6,at_least_20_test_areas
5,Complex cultivation patterns,11.694588728692727,22.09723086741545,2.9185442327611226,58.61191370321293,3406,50,0.5349372805938779,0.05637110980622431,0.24134312696747115,0.2663064453878811,0.25321100917431194,at_least_20_test_areas
6,"Land principally occupied by agriculture, with significant areas of natural vegetation",8.440515253700283,19.525121857063986,0.0011643880863255209,62.51069207204434,3047,54,0.6451043087449411,0.06432556613062028,0.3411513859275053,0.14247551202137132,0.20100502512562815,at_least_20_test_areas
7,Agro-forestry areas,2.4077274288237738,9.802768937598136,0.43759261146626,68.37116394937038,650,7,0.9187219104264025,0.05076923076923077,0.3151041666666667,0.2300380228136882,0.26593406593406593,limited_test_presence
8,Broad-leaved forest,17.113383011548915,30.504245494875356,-3.3582367873693184,47.18920348806084,10162,96,0.5313373432014847,0.06189726431804763,0.6002863751514484,0.638322792223003,0.6187205540103309,at_least_20_test_areas
9,Coniferous forest,10.366579486382385,21.06589587917783,4.413884286798514,42.42855104542831,3299,45,0.6362721642108088,0.06062443164595332,0.338302963371986,0.685820895522388,0.45309996302230987,at_least_20_test_areas
10,Mixed forest,14.435754868759348,28.315223949398696,-3.6115415542012856,59.96480434606552,6836,79,0.5826085012186123,0.042276184903452314,0.494949494949495,0.30878646020885847,0.38030823816387627,at_least_20_test_areas
11,Natural grassland and sparsely vegetated areas,2.0422109263793784,7.9818168025394955,0.8386226308692589,69.91415235944878,387,7,0.9236410795340205,0.056847545219638244,0.06707317073170732,0.038461538461538464,0.04888888888888889,limited_test_presence
12,"Moors, heathland and sclerophyllous vegetation",1.0932916211078048,6.50103441977003,0.22911337074560326,78.24786693829363,247,4,0.9813071573910516,0.044534412955465584,0.0,0.0,0.0,limited_test_presence
13,"Transitional woodland, shrub",7.972117277802329,20.231822091637287,-1.0530470475952347,62.24926320854357,3279,61,0.744806922612526,0.055809698078682524,0.4013840830449827,0.27862289831865494,0.32892249527410206,at_least_20_test_areas
14,"Beaches, dunes, sands",0.43080169431575793,0.7313451849448434,0.430162645566729,4.763362867136796,3,1,0.9977640140419918,0.6666666666666666,,,,limited_test_presence
15,Inland wetlands,1.2469108184504936,4.215296661344857,1.125052569281468,60.672532396597994,45,2,0.9545424054736936,0.1111111111111111,0.0,0.0,0.0,limited_test_presence
16,Coastal wetlands,0.42921588658839166,0.7470063382726264,0.42921588658839166,,0,0,0.9973168168503902,,0.0,,0.0,no_test_presence
17,Inland waters,1.512167033955813,7.767098533568818,-0.2919088078196114,34.05488897590048,1202,21,0.9621223978713414,0.19550748752079866,0.9026162790697675,0.6585365853658537,0.7614960147148988,at_least_20_test_areas
18,Marine waters,0.9743242349114223,4.306790640911016,0.6574938458788742,5.384919024602551,1318,6,0.964201864812289,0.8512898330804249,0.8887343532684284,0.9740853658536586,0.9294545454545454,limited_test_presence
